,Entries,Pronunciations,Generated Pron,Tones,Generated Tones,Absolutives,Generated Abs,Grammatical Info,Gloss
34,*bade·bic,bade·bíʔ,bade·bíʔ,,4,bade·biʔ,bade·biʔ,Verb of Handling,be beyond attainment with mouth
35,*badilta,badíltaw,badíltaw,,3,badiltaw,badiltaw,,
36,*badi·cʼ,badiʔ´,badiʔ´,,3,badiʔ,badiʔ,Verb,call to self
37,*badul,badúlʔ,badúlʔ,,3,badulʔ,badulʔ,Verb,be beyond reach with mouth
38,baduʔ,badúʔ,badúʔ,,3,baduʔ,baduʔ,Noun,visit
39,*bahce,bahcéw,bahcéw,,3,bahcew,bahcew,Verb,obstruct speaking
40,*bahcehcec,bahcéhceʔ,bahcéhceʔ,,3,bahcehceʔ,bahcehceʔ,Verb,stutter
41,*bahcelbahcel,bahcélbahcelʔ,bahcélbahcelʔ,,3,bahcelbahcelʔ,bahcelbahcelʔ,Verb,stammer
42,*bahcena·tacʼ,bahcená·taʔ,bahcená·taʔ,,3,bahcena·taʔ,bahcena·taʔ,,
43,*bahcenbahcenh,bahcénbahcenʔ,bahcénbahcenʔ,,3,bahcenbahcenʔ,bahcenbahcenʔ,Reduplicating Verb,stammer repeatedly
44,*bahcenh,bahcénʔ,bahcénʔ,,3,bahcenʔ,bahcenʔ,Verb,stammer
45,*bahci,bahcíw,báhciw,,2,bahciw,bahciw,,
46,*bahcihqa,báhcihqaw,báhcihqaw,,0,bahcihqaw,bahcihqaw,,
47,bahcil,bahcíl,bahcíl,,3,bahcil,bahcil,Adverb,far from
48,bahciluw,bahcilúw,bahcilúw,,3,bahciluw,bahciluw,Adverb,jump
49,*bahcʰa,bahcʰáw,bahcʰáw,,3,bahcʰaw,bahcʰaw,Verb,knock over with mouth
50,*bahcʰabacʰatad,bahcʰabácʰata·du,bahcʰabácʰata·du,,3,bahcʰabacʰata·du,bahcʰabacʰata·du,,
51,*bahcʰahcʰac,bahcʰáhcʰaʔ,bahcʰáhcʰaʔ,,3,bahcʰahcʰaʔ,bahcʰahcʰaʔ,Verb,crumble with mouth
52,*bahcʰe,,bahcʰéw,,3,,bahcʰew,Verb,"be nosy, ask lot of questions"
53,*bahcʰebacʰetad,bahcʰebácʰeta·du,bahcʰebácʰeta·du,,3,bahcʰebacʰeta·du,bahcʰebacʰeta·du,Reduplicating Verb,be nosy
54,*bahcʰi,bahcʰíw,bahcʰíw,,3,bahcʰiw,bahcʰiw,Verb,make ashamed
55,*bahcʰi,bahcʰíw,bahcʰíw,,3,bahcʰiw,bahcʰiw,Verb,peck to pieces
56,*bahcʰibahcʰi,bahcʰibáhcʰiw,bahcʰibáhcʰiw,,3,bahcʰibahcʰiw,bahcʰibahcʰiw,Reduplicating Verb,peck to pieces
57,*bahcʰital,bahcʰitálʔ,bahcʰitálʔ,,3,bahcʰitalʔ,bahcʰitalʔ,Verb,make jerky
58,*bahcʰiwa·duc,bahcʰiwá·duʔ,bahcʰiwá·duʔ,,3,bahcʰiwa·duʔ,bahcʰiwa·duʔ,Verb,wear away with mouth or beak
59,*bahcʰohcʰoc,bahcʰóhcʰoʔ,bahcʰóhcʰoʔ,,3,bahcʰohcʰoʔ,bahcʰohcʰoʔ,Reduplicating Verb,wear away with mouth or beak
60,*bahcʰot,bahcʰóʔ,bahcʰóʔ,,3,bahcʰoʔ,bahcʰoʔ,Verb,voice give out
61,*bahcʼolhci,,bahcʼólhciw,,3,bahcʼolhciw,bahcʼolhciw,Verb,put beak into something shallow
62,*bahkeš,bahkéš,bahkéš,,3,bahkeš,bahkeš,Verb,brag
63,*bahkibakitad,bahkibákita·du,bahkibákita·du,,3,bahkibakita·du,bahkibakita·du,,
64,*bahkihki,bahkíhkiw,bahkíhkiw,,3,bahkihkiw,bahkihkiw,Reduplicating Verb,refuse
65,*bahkobakotad,bahkobákota·du,bahkobákota·du,,3,bahkobakota·du,bahkobakota·du,,
66,*bahkohko,bahkóhkow,bahkóhkow,,3,bahkohkow,bahkohkow,Reduplicating Verb,tap with beak
67,*bahkotʰci,bahkótʰciw,bahkótʰciw,,3,bahkotʰciw,bahkotʰciw,Verb,wear away with mouth
68,bahku,bahku´,bahku´,,3,bahku,bahku,Adjective,stoop
69,*bahkut,bahkúʔ,bahkúʔ,,3,bahkuʔ,bahkuʔ,Verb,dull
70,*bahkutʰqa,bahkútʰqaw,bahkútʰqaw,,3,bahkutʰqaw,bahkutʰqaw,Verb,be unsure of course of action
71,*bahkʰel,,bahkʰélʔ,,3,bahkʰel,bahkʰelʔ,Verb,?
72,*bahkʰeyʔcicʼ,bahkʰéyʔciʔ,bahkʰéyʔciʔ,,3,bahkʰeyʔciʔ,bahkʰeyʔciʔ,Verb,catch moving object with mouth or beak
73,bahkʰoy,bahkʰóy,bahkʰóy,,3,bahkʰoy,bahkʰoy,,
74,*bahkʰuhkʰu,bahkʰúhkʰuw,bahkʰúhkʰuw,,3,bahkʰuhkʰuw,bahkʰuhkʰuw,Reduplicating Verb,crush to pieces with bill
75,bahlaw,,bahláw,,3,bahlaw,bahlaw,Noun,detach with mouth
76,*bahlokʼ,bahlóʔ,bahlóʔ,,3,bahloʔ,bahloʔ,Verb,feel like collapsing from words
77,bahloq,bahlóʔ,bahlóʔ,,3,bahloʔ,bahloʔ,,
78,*bahlud,bahludú,bahludú,,3,bahludu,bahludu,Verb,pick off with beak
79,*bahlu·c,bahluʔ´,bahluʔ´,,3,bahluʔ,bahluʔ,Verb,upset by words
80,*bahlu·m,bahlumʔ´,bahlumʔ´,,3,bahlumʔ,bahlumʔ,Verb,forget
81,*bahmiy,bahmíyʔ,bahmíyʔ,,3,bahmiyʔ,bahmiyʔ,Verb,poke with nose
82,*bahmohmo,bahmóhmow,bahmóhmow,,3,bahmohmow,bahmohmow,Verb,work mouth
83,*bahmu·l,bahmulʔ´,bahmulʔ´,,3,bahmulʔ,bahmulʔ,Verb,do incompletely with mouth
84,*bahnat,bahnáʔ,bahnáʔ,,3,bahnaʔ,bahnaʔ,Verb,ask
85,*bahnatacʼ,bahnatáʔ,bahnatáʔ,,3,bahnataʔ,bahnataʔ,Verb,ask about
86,*bahnataʔ,bahnatáʔ,bahnatáʔ,,3,bahnataʔ,bahnataʔ,,
87,*bahnaticʼ,bahnatíʔ,bahnatíʔ,,3,bahnatiʔ,bahnatiʔ,Verb,ask to do
88,*bahol,bahólʔ,bahólʔ,,3,baholʔ,baholʔ,Verb,call for (unseen)
89,*baholma,bahólmaw,bahólmaw,,3,baholmaw,baholmaw,,
90,*bahpahpa,bahpáhpaw,bahpáhpaw,,3,bahpahpaw,bahpahpaw,Reduplicating Verb,pat with snout
91,*bahpola·tad,bahpolá·tadu,bahpolá·tadu,,3,bahpola·tadu,bahpola·tadu,,
92,*bahpolh,bahpólʔ,bahpólʔ,,3,bahpolʔ,bahpolʔ,Verb,gush by mouth
93,*bahpʰa,bahpʰáw,bahpʰáw,,3,bahpʰaw,bahpʰaw,Verb,sink in with mouth
94,*bahpʰabahpʰa,bahpʰabáhpʰaw,bahpʰabáhpʰaw,,3,bahpʰabahpʰaw,bahpʰabahpʰaw,Reduplicating Verb,lips moving with no teeth underneath
95,*bahpʰatʼci,bahpʰátʼciw,bahpʰátʼciw,,3,bahpʰatʼciw,bahpʰatʼciw,Verb,sag inward with mouth
96,*bahpʰibapʰitad,bahpʰibápʰita·du,bahpʰibápʰita·du,,3,bahpʰibapʰita·du,bahpʰibapʰita·du,,
97,*bahpʰihpʰi,bahpʰíhpʰiw,bahpʰíhpʰiw,,3,bahpʰihpʰiʔ,bahpʰihpʰiw,Reduplicating Verb,shred by pecking with beak
98,*bahpʰukʼut,bahpʰukʼúʔ,bahpʰukʼúʔ,,3,bahpʰukʼuʔ,bahpʰukʼuʔ,Verb,sink into with mouth
99,*bahpʰuṭay,bapʰuṭáyʔ,bahpʰuṭáyʔ,,3,bapʰuṭayʔ,bahpʰuṭayʔ,Verb,be unable to finish telling
100,*bahpʰuṭʼ,bahpʰúʔ,bahpʰúʔ,,3,bahpʰuʔ,bahpʰuʔ,Verb,lose control of with mouth
101,bahqa,bahqa´,bahqa´,,3,bahqa,bahqa,Noun,be inured to noise
102,*bahqalh,,bahqálʔ,,3,,bahqalʔ,Verb,bend something with mouth
103,*bahqʰabahqʰa,bahqʰabáhqʰaw,bahqʰabáhqʰaw,,3,bahqʰabahqʰaw,bahqʰabahqʰaw,Reduplicating Verb,sound fade away
104,*bahqʰabaqʰa·duc,,bahqʰabáqʰa·duʔ,,3,,bahqʰabaqʰa·duʔ,Verb,sound fade in distance
105,*bahqʰahqʰa,bahqʰáhqʰaw,bahqʰáhqʰaw,,3,bahqʰahqʰaw,bahqʰahqʰaw,Reduplicating Verb,barely be able to hear
106,bahqʰamʔ,bahqʰámʔ,bahqʰámʔ,,3,bahqʰamʔ,bahqʰamʔ,Noun,rip with beak
107,*bahqʰayad,bahqʰayádu,bahqʰayá·du,,3,bahqʰayadu,bahqʰaya·du,Verb,push along with mouth
108,*bahqʰolh,bahqʰólʔ,bahqʰólʔ,,3,bahqʰolʔ,bahqʰolʔ,Verb,insulted
109,bahqʰoʔmacʼ,,bahqʰóʔmaʔ,,3,,bahqʰoʔmaʔ,,
110,*bahqʰoʔmacʼahqa,bahqʰóʔmacʼahqaw,bahqʰóʔmacʼahqaw,,3,bahqʰoʔmacʼahqaw,bahqʰoʔmacʼahqaw,Verb,insult
111,*bahqʰoʔmacʼaq,,bahqʰóʔmacʼaʔ,,3,,bahqʰoʔmacʼaʔ,Verb,fall and hit face with hard bounce on something
112,*bahsam,bahsám,bahsámʔ,,2,bahsam,bahsamʔ,Verb of Handling,speak and bounce back
113,*bahsem,bahsémʔ,bahsémʔ,,3,bahsemʔ,bahsemʔ,Verb,interrupt
114,*bahsetʼ,bahséʔ,bahséʔ,,3,bahseʔ,bahseʔ,Verb,hairs protrude from face
115,*bahsikʼit,bahsikʼíʔ,bahsikʼíʔ,,3,bahsikʼiʔ,bahsikʼiʔ,Verb,push away with mouth
116,*bahsom,bahsómʔ,bahsómʔ,,3,bahsomʔ,bahsomʔ,Verb,interrupt speech
117,bahsoq,bahsóʔ,bahsóʔ,,3,bahsoʔ,bahsoʔ,Noun,scatter with mouth
118,bahša,bahša´,bahša´,,3,bahša,bahša,Noun,crab apple
119,*bahšahša,bahšáhšaw,bahšáhšaw,,3,bahšahšaw,bahšahšaw,Reduplicating Verb,disarrange
120,*bahše,bahšéw,bahšéw,,3,bahšew,bahšew,Verb,(not) fail to say
121,*bahšetacʼ,bahšetáʔ,bahšetáʔ,,3,bahšetaʔ,bahšetaʔ,,
122,*bahšon,bahšónʔ,bahšónʔ,,3,bahšonʔ,bahšonʔ,Verb,go ask for
123,*bahšona·tad,bašoná·tadu,bahšoná·tadu,,3,bašona·tadu,bahšona·tadu,,
124,*bahšukʼuṭ,bahšukʼúʔ,bahšukʼúʔ,,3,bahšukʼuʔ,bahšukʼuʔ,Verb,bill to sink in
125,*bahtahta,bahtáhtaw,bahtáhtaw,,3,bahtahtaw,bahtahtaw,Reduplicating Verb,pig poking snout here and there on ground
126,*bahtay,bahtáyʔ,bahtáyʔ,,3,bahtayʔ,bahtayʔ,Verb,"say, bother"
127,*bahtehte,bahtéhtew,bahtéhtew,,3,bahtehtew,bahtehtew,Reduplicating Verb,pat with mouth
128,*bahtena·la,bahtená·law,bahtená·law,,3,bahtena·law,bahtena·law,Verb,calm down
129,*bahtsi,bahtsíw,bahtsíw,,3,bahtsiw,bahtsiw,Verb,budge
130,*bahtsitad,bahtsitádu,bahtsitá·du,,3,bahtsitadu,bahtsita·du,,
131,bahtʰibaṭʰa·du,bahtʰibáṭʰa·du,bahtʰibáṭʰa·du,,3,bahtʰibaṭʰa·du,bahtʰibaṭʰa·du,Verb,refrain from saying
132,*bahṭekeye,bahṭekéyew,bahṭekéyew,,3,bahṭekeyew,bahṭekeyew,Verb,pound on table
133,*bahṭilh,bahṭílʔ,bahṭílʔ,,3,bahṭilʔ,bahṭilʔ,Verb,make thud
134,*bahṭolh,bahṭólʔ,bahṭólʔ,,3,bahṭolʔ,bahṭolʔ,Verb,make clang with mouth
135,*bahṭonṭolo,bahṭónṭolow,bahṭónṭolow,,3,bahṭonṭolow,bahṭonṭolow,Verb,wear away inside
136,*bahṭoy,bahṭóyʔ,bahṭóyʔ,,3,bahṭoyʔ,bahṭoyʔ,Verb,comfort
137,*bahṭʰa,bahṭʰáw,bahṭʰáw,,3,bahṭʰaw,bahṭʰaw,Verb,open up
138,*bahṭʰahṭʰac,bahṭʰáhṭʰaw,bahṭʰáhṭʰaʔ,,2,bahṭʰahṭʰaw,bahṭʰahṭʰaʔ,Verb,unwind with words
139,bahṭʰe,bahṭʰe´,bahṭʰe´,,3,bahṭʰe,bahṭʰe,Adjective,clear voice
140,bahṭʰucʼe·,bahṭʰucʼé·,bahṭʰucʼé·,,3,bahṭʰucʼe·,bahṭʰucʼe·,Noun,repeat nonsensically
141,*bahwaṭʰ,bahwáʔ,bahwáʔ,,3,bahwaʔ,bahwaʔ,Verb,be wide of mouth
142,*bahwehwe,bahwéhwew,bahwéhwew,,3,bahwehwew,bahwehwew,Reduplicating Verb,shake by talking
143,*bahwel,bahwélʔ,bahwélʔ,,3,bahwelʔ,bahwelʔ,Verb,do quickly
144,*bahwe·n,bahwenʔ´,bahwenʔ´,,3,bahwenʔ,bahwenʔ,Verb,shake with beak
145,*bahwi,bahwíw,bahwíw,,3,bahwiw,bahwiw,Verb,ask for certain thing
146,bahya,bahya´,bahya´,,3,bahya,bahya,Adverb,"stop speaking, singing"
147,*bahyol,bahyólʔ,bahyólʔ,,3,bahyolʔ,bahyolʔ,Verb,stir with mouth
148,*bahyo·c,bahyoʔ´,bahyoʔ´,,3,bahyoʔ,bahyoʔ,Verb,swing with mouth
149,*baki·lma,bakilmáw,bakilmáw,,3,bakilmaw,bakilmaw,,
150,*bakuhṭi,bakúhṭiw,bakúhṭiw,,3,bakuhṭiw,bakuhṭiw,,
151,*baku·ṭ,bakuʔ´,bakuʔ´,,3,bakuʔ,bakuʔ,Verb,drone
152,*bakʰeyʔtacʼ,bakʰéyʔtaʔ,bakʰéyʔtaʔ,,3,bakʰeyʔtaʔ,bakʰeyʔtaʔ,,
153,*bakʰi,bakʰíw,bakʰíw,,3,bakʰiw,bakʰiw,Verb,stretch with beak
154,*bakʰot,bakʰóʔ,bakʰóʔ,,3,bakʰoʔ,bakʰoʔ,,
155,*bakʰu·l,bakʰulʔ´,bakʰulʔ´,,3,bakʰulʔ,bakʰulʔ,Verb,open slightly with mouth
156,*bakʼat,bakʼáʔ,bakʼáʔ,,3,bakʼaʔ,bakʼaʔ,,
157,*bakʼehnic,bakʼéhniʔ,bakʼéhniʔ,,3,bakʼehniʔ,bakʼehniʔ,,
158,*bakʼe·nci,bakʼencíw,bakʼencíw,,3,bakʼenciw,bakʼenciw,Verb,ask too many questions
159,*bakʼihši,bakʼíhšiw,bakʼíhšiw,,3,bakʼihšiw,bakʼihšiw,,
160,*bakʼi·š,bakʼiš´,bakʼiš´,,3,bakʼiš,bakʼiš,Verb,be squeaky
161,*bakʼo·c,bakʼoʔ´,bakʼoʔ´,,3,bakʼoʔ,bakʼoʔ,Verb,sound important
162,*bakʼo·cʰqa,bakʼocʰqáw,bakʼocʰqáw,,3,bakʼocʰqaw,bakʼocʰqaw,Verb,make something sound extreme
163,*bakʼo·l,bakʼolʔ´,bakʼolʔ´,,3,bakʼolʔ,bakʼolʔ,Verb,sound hard to do
164,*bakʼumaq,bakʼumáʔ,bakʼumáʔ,,3,bakʼumaʔ,bakʼumaʔ,Verb,talk to one’s limit
165,*bakʼuma·cʼed,bakʼumá·cʼedu,bakʼumá·cʼedu,,3,bakʼuma·cʼedu,bakʼuma·cʼedu,Verb,talk about hard task
166,*bakʼumicʼ,bakʼumíʔ,bakʼumíʔ,,3,bakʼumiʔ,bakʼumiʔ,Verb,talk too long
167,*bakʼummahqa,bakʼúmmahqaw,bakʼúmmahqaw,,3,bakʼummahqaw,bakʼummahqaw,Verb,get pregnant
168,*balebalec,balebáleʔ,balebáleʔ,,3,balebaleʔ,balebaleʔ,Reduplicating Verb,exclude
169,*balebalewad,balebálewa·du,balebálewa·du,,3,balebalewa·du,balebalewa·du,,
170,*bale·m,balemʔ´,balemʔ´,,3,balemʔ,balemʔ,Verb,put shapeless substance with mouth
171,*bamahci,,bamáhciw,,3,,bamahciw,,
172,*bamat,bamáʔ,bamáʔ,,3,bamaʔ,bamaʔ,,
173,*bamat,bamáʔ,bamáʔ,,3,bamaʔ,bamaʔ,,
174,*bamayic,bamayíʔ,bamayíʔ,,3,bamayiʔ,bamayiʔ,Verb,pile
175,*bana,banáw,banáw,,3,banaw,banaw,Verb,pass on
176,*banac,banáʔ,banáʔ,,3,banaʔ,banaʔ,Verb,put (several) down in
177,*bana·la,bana·láw,bana·láw,,4,bana·law,bana·law,Verb,throw down
178,*bana·lahqa,bana·láhqaw,bana·láhqaw,,4,bana·lahqaw,bana·lahqaw,Verb,put down
179,*bana·lamecʼ,bana·lámeʔ,banala·méʔ,,4,bana·lameʔ,banala·meʔ,Verb,put down in
180,*bana·loq,bana·lóʔ,bana·lóʔ,,4,bana·loʔ,bana·loʔ,Verb,"bury with snout, beak"
181,*bana·q,banaʔ´,banaʔ´,,3,banaʔ,banaʔ,Verb,throw out
182,*bana·qac,bana·qáʔ,bana·qáʔ,,4,bana·qaʔ,bana·qaʔ,Verb,throw up
183,*baqʰaṭʼqʰaʔṭʼa,baqʰáṭʼqʰaʔṭʼaw,baqʰáṭʼqʰaʔṭʼaw,,3,baqʰaṭʼqʰaʔṭʼaw,baqʰaṭʼqʰaʔṭʼaw,,
184,*baqʰa·,baqʰaw´,baqʰaw´,,3,baqʰaw,baqʰaw,Verb,interesting
185,*baqʰa·ṭʰqa,baqʰaṭʰqáw,baqʰaṭʰqáw,,3,baqʰaṭʰqaw,baqʰaṭʰqaw,Verb,uproot one with snout
186,*baqʼahci,baqʼáhciw,baqʼáhciw,,3,baqʼahciw,baqʼahciw,,
187,*baqʼa·ṭ,baqʼaʔ´,baqʼaʔ´,,3,baqʼaʔ,baqʼaʔ,Verb,n
188,*basat,basáʔ,basáʔ,,3,basaʔ,basaʔ,,
189,*basatʰqa,,basátʰqaw,,3,,basatʰqaw,Verb,interrupt
190,*basa·bic,basa·bíʔ,basa·bíʔ,,4,basa·biʔ,basa·biʔ,Verb of Handling,eat
191,*basʼatam,basʼatámʔ,basʼatámʔ,,3,basʼatamʔ,basʼatamʔ,,
192,*basʼayla,basʼáylaw,basʼáylaw,,3,basʼaylaw,basʼaylaw,Verb,tangle by mouth
193,*basʼayʔṭa,basʼáyʔṭaw,basʼáyʔṭaw,,3,basʼayʔṭaw,basʼayʔṭaw,,
194,*basʼa·l,basʼalʔ´,basʼalʔ´,,3,basʼalʔ,basʼalʔ,Verb,liquid come from solid with mouth
195,basʼa·sʼa,basʼa·sʼa´,basʼa·sʼa´,,4,basʼa·sʼa,basʼa·sʼa,Noun,overcome with mouth
196,basʼisʼi,basʼisʼí,basʼisʼí,,3,basʼisʼi,basʼisʼi,Noun,make smooth and shiny with mouth
197,*basʼu·l,basʼulʔ´,basʼulʔ´,,3,basʼulʔ,basʼulʔ,,
198,*bašamat,bašamáʔ,bašamáʔ,,3,bašamaʔ,bašamaʔ,,
199,*baša·m,bašamʔ´,bašamʔ´,,3,bašamʔ,bašamʔ,Verb,rustle with mouth
200,baše,baše´,baše´,,3,baše,baše,,
201,baše·wi,baše·wi´,baše·wi´,,4,baše·wi,baše·wi,Place Name,reverberate
202,*bašo·m,bašomʔ´,bašomʔ´,,3,bašomʔ,bašomʔ,Verb,echo
203,*bašucʼaq,,bašucʼáʔ,,3,,bašucʼaʔ,,
204,*bašud,bašudú,bašudú,,3,bašudu,bašudu,Verb,twist with mouth
205,*batayʔta,bahtáyʔtaw,batáyʔtaw,,2,bahtayʔtaw,batayʔtaw,,
206,*batihti,batíhtiw,batíhtiw,,3,batihtiw,batihtiw,,
207,*batilhla,batílhlaw,batílhlaw,,3,batilhlaw,batilhlaw,Verb,straighten with mouth
208,*batʰil,batʰílʔ,batʰílʔ,,3,batʰilʔ,batʰilʔ,Verb,tear with mouth
209,*batʼac,batʼáʔ,batʼáʔ,,3,batʼaʔ,batʼaʔ,,
210,*batʼacʼaq,bátʼacʼaʔ,batʼacʼáʔ,,1,batʼacʼaʔ,batʼacʼaʔ,Verb,be quiet
211,*batʼoš,batʼóš,batʼóš,,3,batʼoš,batʼoš,Verb,peel
212,*batʼuhli,batʼúhliw,batʼúhliw,,3,batʼuhliw,batʼuhliw,,
213,*batʼul,batʼúlʔ,batʼúlʔ,,3,batʼulʔ,batʼulʔ,Verb,squeeze with mouth
214,baṭa,baṭa´,baṭa´,,3,baṭa,baṭa,Noun,tongue get twisted
215,*baṭe·m,baṭemʔ´,baṭemʔ´,,3,baṭemʔ,baṭemʔ,Verb,say repeatedly
216,*baṭi,baṭíw,baṭíw,,3,baṭiw,baṭiw,Verb of Position,break open with mouth
217,*baṭʰa·m,baṭʰamʔ´,baṭʰamʔ´,,3,baṭʰamʔ,baṭʰamʔ,Verb,raise (child)
218,baṭʰemʔda,baṭʰémʔda,baṭʰémʔda,,3,baṭʰemʔda,baṭʰemʔda,Adjective,clear
219,baṭʰe·,baṭʰe·´,baṭʰe·´,,4,baṭʰe·,baṭʰe·,Adverb,sprout up over an area
220,*baṭʼat,baṭʼáʔ,baṭʼáʔ,,3,baṭʼaʔ,baṭʼaʔ,,
221,*baṭʼawʔcʼic,baṭʼiáwʔcʼiʔ,baṭʼáwʔcʼiʔ,,3,baṭʼiawʔcʼiʔ,baṭʼawʔcʼiʔ,,
222,*baṭʼa·,baṭʼaw´,baṭʼaw´,,3,baṭʼaw,baṭʼaw,Verb,put in container
223,*baʔbalhci,baʔbálhciw,baʔbálhciw,,3,baʔbalhciw,baʔbalhciw,Verb,discuss
224,*baʔbaʔba,baʔbáʔbaw,baʔbáʔbaw,,3,baʔbaʔbaw,baʔbaʔbaw,Reduplicating Verb,chatter
225,*baʔcʰabaʔcʰam,,baʔcʰabáʔcʰamʔ,,3,,baʔcʰabaʔcʰamʔ,,
226,*baʔcʰat,baʔcʰáʔ,baʔcʰáʔ,,3,baʔcʰaʔ,baʔcʰaʔ,,
227,*baʔcʰu,baʔcʰúw,baʔcʰúw,,3,baʔcʰuw,baʔcʰuw,Verb,teem with mouth
228,*baʔcʼalam,baʔcʼalámʔ,baʔcʼalámʔ,,3,baʔcʼalamʔ,baʔcʼalamʔ,Verb,get unlucky
229,*baʔcʼaʔcʼa,baʔcʼáʔcʼaw,baʔcʼáʔcʼaw,,3,baʔcʼaʔcʼaw,baʔcʼaʔcʼaw,Reduplicating Verb,chip
230,*baʔcʼetad,baʔcʼetá·du,baʔcʼetá·du,,3,baʔcʼeta·du,baʔcʼeta·du,,
231,*baʔcʼeʔcʼe,baʔcʼéʔcʼew,baʔcʼéʔcʼew,,3,baʔcʼeʔcʼew,baʔcʼeʔcʼew,Reduplicating Verb,break off pieces with beak
232,baʔcʼe·,baʔcʼe·´,baʔcʼe·´,,4,baʔcʼe·,baʔcʼe·,Noun,detach by words
233,*baʔcʼoqʰot,baʔcʼoqʰóʔ,baʔcʼoqʰóʔ,,3,baʔcʼoqʰoʔ,baʔcʼoqʰoʔ,Verb,peck out piece
234,baʔcʼowa,baʔcʼowá,baʔcʼowá,,3,baʔcʼowa,baʔcʼowa,Noun,peck off pieces
235,*baʔdayac,baʔdayáʔ,baʔdayáʔ,,3,baʔdayaʔ,baʔdayaʔ,Verb,make oral mistake
236,*baʔden,baʔdénʔ,baʔdénʔ,,3,baʔdenʔ,baʔdenʔ,Verb,sound to penetrate
237,*baʔkʰobaʔkʰo,baʔkʰobáʔkʰow,baʔkʰobáʔkʰow,,3,baʔkʰobaʔkʰow,baʔkʰobaʔkʰow,Reduplicating Verb,repeatedly bend head
238,*baʔkʰoš,baʔkʰóš,baʔkʰóš,,3,baʔkʰoš,baʔkʰoš,Verb,bend
